Branch,Branch ID,Rounded Time
DBS Ang Mo Kio Central Branch,AngMoKioCentral,6
DBS Bishan Central Branch,BishanCentral,3
DBS Bukit Timah Branch,BukitTimah,3
DBS Choa Chu Kang Branch,ChoaChuKang,4
DBS Clementi Central Branch,ClementiCentral,4
DBS HarbourFront Branch,HarbourFront,2
DBS Holland Village Branch,HollandVillage,3
DBS Kovan Branch,Kovan,5
DBS MBFC Branch,MBFC,5
DBS Parkway Parade Branch,ParkwayParade,4
DBS Plaza Singapura Branch,PlazaSingapura,7
DBS South Bridge Branch,SouthBridge,5
DBS Suntec City Branch,SuntecCity,3
DBS Tampines One Branch,TampinesOne,3
DBS Thomson Branch,Thomson,4
DBS Toa Payoh Branch,ToaPayoh,4
DBS Towner Road Branch,TownerRoad,4
DBS Westgate Branch,Westgate,4
DBS Woodlands Branch,Woodlands,6
POSB Bedok Central Branch,BedokCentral,3
POSB Bukit Batok Central Branch,BukitBatokCentral,0
POSB Bukit Panjang Branch,BukitPanjang,4
POSB Compass One Branch,CompassOne,4
POSB Hougang Central Branch,HougangCentral,4
POSB Jurong Point Branch,JurongPoint,5
POSB Paya Lebar Branch,PayaLebar,4
POSB Square 2 Branch,Square2,1
POSB Tampines Central Branch,TampinesCentral,3
POSB Tiong Bahru Branch,TiongBahru,4
POSB Waterway Point Branch,WaterwayPoint,4
POSB White Sands Branch,WhiteSands,2
POSB Yishun West Branch,YishunWest,4
